geoid,end_shelter_in_place,face_mask_mandate_business,state_of_emergency,shelter_in_place,school_closure,close_nonessential_business,face_mask_mandate
1001,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1003,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,6-Jul-20
1005,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1007,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1009,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1011,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1013,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1015,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1017,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1019,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1021,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1023,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1025,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,9-Jul-20
1027,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1029,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1031,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1033,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1035,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1037,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1039,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1041,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1043,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1045,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1047,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,20-Jun-20
1049,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1051,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1053,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1055,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1057,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1059,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1061,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1063,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,1-Jul-20
